Question:,Main category,Column 1,Column 2,Column 3
Am I irresistible?,Love,LOVE - WORDS,,
What's my love language?,Love,LOVE - WORDS,LOVE LANGUAGE,
Am I powerful in love?,Love,LOVE - WORDS,LOVE LANGUAGE,
Do they find me attractive?,Love,LOVE - WORDS,,
What draws other people to me?,Love,LOVE - WORDS,,
What makes me uniquely attractive?,Love,LOVE - WORDS,,
Am I aware of the impact I have on others?,Love,LOVE - WORDS,,
Do they have a crush on me?,Love,LOVE - WORDS,,
Do I catch feelings easily?,Love,LOVE - WORDS,,
What are my best work qualities?,Career,CAREER - CHARACTERISTICS,,
Will I be successful?,Career,CAREER - CHARACTERISTICS,,
What are my work superpowers?,Career,CAREER - CHARACTERISTICS,,
Do I exude boss vibes?,Career,CAREER - CHARACTERISTICS,CAREER - SECTOR,CAREER - JOBS
Am I on my way to being the influencer of my industry?,Career,CAREER - CHARACTERISTICS,CAREER - SECTOR,CAREER - JOBS
Who am I truly meant to be with?,Compatibility,COMPATIBILITY,,
Who is my perfect match? ,Compatibility,COMPATIBILITY,,
Spill the tea on my true love?,Compatibility,COMPATIBILITY,,
Who's about to slide into my DMs with that soulmate energy?,Compatibility,COMPATIBILITY,,
Is the year of the Dragon going to be my ultimate glow-up season?,Myself,MYSELF - YEAR OF THE DRAGON,,
What do my lucky gemstones reveal about my true power?,Myself,MYSELF - GEMSTONES,,
How can my ruling planet influence my life?,Myself,MYSELF - RULING PLANET,,
How do I sync with the full moon for that magic boost?,Myself,MYSELF - FULL MOON,,
What do people think of me?,Myself,MYSELF - TRAITS,MYSELF - TYPE,
What's my most powerful quality?,Myself,MYSELF - TRAITS,MYSELF - TYPE,
Am I self-aware or am I living in my own bubble?,Myself,MYSELF - CHALLENGES,,
Do I have a magnetic personality?,Myself,MYSELF - TRAITS,MYSELF - TYPE,MYSELF - RULING PLANET
